Bench,Block,Pop,Position,Cohort,First Bud Date,Height (cm) @ First Bud ,First Flower Date,Height (cm) @ First Flower,First Fruit Date,Height (cm) @ First Fruit,Death Date,Notes
1,2,STIN,F10,cohort 2,3/2/22,,3/21/22,7.4,4/4/22,7.2,5/23/22,
1,2,STIN,B12,cohort 4,3/7/22,,3/23/22,6.9,4/4/22,6.4,,
2,6,CAAN2,A09,cohort 5,3/11/22,2.5,3/23/22,8.9,4/4/22,8.7,,
1,7,CACO1,D14,cohort 1,3/7/22,,3/23/22,9.1,4/4/22,9.7,,
1,2,STIN,A01,cohort 4,3/7/22,,3/25/22,6.8,4/4/22,6.7,5/23/22,
3,1,STIN,C09,cohort 4,,,3/25/22,7.8,4/4/22,7.4,,
3,1,STIN,G05,cohort 4,3/4/22,,3/25/22,8.3,4/4/22,8.5,,
3,1,STIN,D02,cohort 3,3/11/22,7.2,3/25/22,9.3,4/4/22,10.2,,
3,14,CACO1,B08,cohort 4,3/14/22,5.2,3/25/22,11.8,4/4/22,11.4,,
2,8,CAAM,E05,cohort 4,3/11/22,5.1,3/25/22,12.4,4/4/22,12.4,5/23/22,
4,5,CAAM,A01,cohort 5,3/21/22,11.4,3/25/22,13.9,4/4/22,14.8,,
3,14,CACO1,F08,cohort 5,3/9/22,4,3/25/22,15.4,4/4/22,16.2,,
3,9,CAAM,E09,cohort 5,3/16/22,8.3,3/25/22,16.2,4/4/22,18.5,,
2,8,CAAM,D02,cohort 5,3/16/22,13.2,3/25/22,22.6,4/4/22,22.6,,
1,7,CACO1,B06,cohort 2,2/11/22,,3/28/22,6.9,4/4/22,10.6,,3/28 has yellow pick but no record
2,1,CACO1,A03,cohort 5,3/16/22,6.3,3/28/22,10.5,4/4/22,10.9,,
1,12,CAAM,G09,cohort 5,3/18/22,5.3,3/28/22,10.1,4/4/22,11.3,,
4,5,CAAM,C03,cohort 5,3/14/22,5.6,3/28/22,15.3,4/4/22,15.9,,
4,4,CACO1,G13,cohort 5,,,3/28/22,17.9,4/4/22,18.1,,
3,1,STIN,B14,cohort 4,3/11/22,4.2,3/30/22,6.7,4/4/22,7.6,,
2,8,CAAM,D14,cohort 2,2/21/22,,,,4/4/22,11.4,,
1,13,CAIN4,A05,cohort 1,2/16/22,,2/28/22,15.6,4/6/22,14.5,,
3,5,CAAN1,C09,cohort 3,2/16/22,,3/2/22,,4/6/22,4.1,,Picked but without data for fruit
1,2,STIN,C13,cohort 3,3/7/22,,3/14/22,4.1,4/6/22,6.5,,
2,4,STIN,F02,cohort 2,3/2/22,,3/16/22,7,4/6/22,7.6,5/23/22,
1,12,CAAM,A11,cohort 3,3/14/22,,3/16/22,7.7,4/6/22,7.9,,
2,4,STIN,D12,cohort 4,3/14/22,5.2,3/16/22,6.1,4/6/22,8.1,,
3,14,CACO1,E07,cohort 4,3/9/22,6.2,3/21/22,12.4,4/6/22,13,,
4,4,CACO1,B02,cohort 1,3/4/22,,3/21/22,13.1,4/6/22,13.1,,
3,14,CACO1,G03,cohort 4,3/4/22,,3/21/22,14.2,4/6/22,16.8,,
2,4,STIN,E01,cohort 4,3/4/22,,3/23/22,7.3,4/6/22,7.6,5/23/22,
1,11,CAIN3,B06,cohort 4,2/21/22,,3/23/22,12.7,4/6/22,11.3,,
3,9,CAAM,F06,cohort 5,3/14/22,5.1,3/23/22,15.1,4/6/22,16.5,,Actual flower date 3/23
4,4,CACO1,B06,cohort 5,3/7/22,,3/23/22,20.4,4/6/22,25.6,,
3,14,CACO1,B10,cohort 4,3/11/22,5.2,3/25/22,12,4/6/22,12.1,,
2,3,CAIN3,B02,cohort 5,3/11/22,5.6,3/25/22,13.1,4/6/22,13.1,,
4,9,CAAN1,C09,cohort 5,,,3/28/22,8.2,4/6/22,7.9,,
1,7,CACO1,F08,cohort 5,3/16/22,5.8,3/28/22,13.3,4/6/22,14.6,,
2,3,CAIN3,C09,cohort 5,3/14/22,4.6,3/28/22,13.8,4/6/22,15,,
1,11,CAIN3,A05,cohort 5,3/16/22,7.1,3/28/22,15.9,4/6/22,16.7,,
4,5,CAAM,E09,cohort 5,,,3/28/22,19.2,4/6/22,19.2,,
2,1,CACO1,G01,cohort 5,3/16/22,5.2,3/28/22,17.2,4/6/22,19.5,,
4,6,CAIN3,G03,cohort 2,2/18/22,,3/30/22,12.7,4/6/22,12.9,,
3,5,CAAN1,D06,cohort 5,3/18/22,4.1,,,4/6/22,9.4,,Already picked for flower but no data
3,5,CAAN1,G13,cohort 2,1/27/22,,2/7/22,,4/7/22,6.8,,
3,2,CAAN2,G01,cohort 1,2/7/22,,2/28/22,6.9,4/7/22,7.2,,height recorded 3/30
4,6,CAIN3,G01,cohort 2,2/11/22,,3/2/22,10.6,4/7/22,14.1,,height recorded 4/4
4,10,CAAN2,C09,cohort 1,2/18/22,,3/7/22,5.6,4/7/22,5.9,,height recorded 4/4
4,5,CAAM,G03,cohort 1,2/14/22,,3/7/22,26.5,4/7/22,28.1,,height recorded 4/4
3,12,CAIN4,G01,cohort 1,2/16/22,,3/9/22,10.5,4/7/22,12.3,5/6/22,
3,12,CAIN4,G07,cohort 1,2/11/22,,3/9/22,14,4/7/22,14.8,5/25/22,
4,5,CAAM,C01,cohort 2,2/16/22,,3/10/22,8.1,4/7/22,9.5,,
3,1,STIN,G07,cohort 2,3/4/22,,3/11/22,4.5,4/7/22,8.4,,
4,8,STIN,E01,cohort 2,3/4/22,,3/14/22,3.7,4/7/22,7.4,,
4,5,CAAM,G05,cohort 1,2/18/22,,3/14/22,11.9,4/7/22,13.1,,
4,9,CAAN1,A09,cohort 1,3/4/22,,3/14/22,10.7,4/7/22,14.5,,
4,9,CAAN1,E07,cohort 2,,,3/16/22,6.6,4/7/22,5.4,,
4,8,STIN,C01,cohort 3,3/9/22,2.1,3/21/22,4.9,4/7/22,7.3,,
3,14,CACO1,C11,cohort 5,,,3/21/22,7.9,4/7/22,18.1,,
3,14,CACO1,E01,cohort 1,3/7/22,,3/23/22,12.6,4/7/22,13.1,,
3,1,STIN,G13,cohort 4,3/16/22,4.1,3/25/22,5.7,4/7/22,6.2,,
4,8,STIN,A03,cohort 4,3/9/22,3.1,3/25/22,8.5,4/7/22,8.5,,
4,6,CAIN3,A01,cohort 4,3/14/22,8.3,3/25/22,8.6,4/7/22,9.9,,
3,12,CAIN4,G11,cohort 4,3/16/22,6.2,3/25/22,9.3,4/7/22,10,,
3,9,CAAM,E03,cohort 5,3/16/22,5.1,3/28/22,10.3,4/7/22,10.8,,
4,6,CAIN3,A05,cohort 5,3/14/22,12,3/28/22,18.4,4/7/22,12.5,,
3,9,CAAM,B06,cohort 4,3/16/22,8,3/28/22,12.5,4/7/22,13.1,,
3,12,CAIN4,C13,cohort 5,3/18/22,8.7,3/28/22,16.1,4/7/22,16.6,,
4,10,CAAN2,A03,cohort 3,3/23/22,2.6,3/30/22,3,4/7/22,3.9,,
4,9,CAAN1,E13,cohort 1,3/16/22,3.4,3/30/22,3.6,4/7/22,4.2,,already marked for flower no data
4,9,CAAN1,C05,cohort 3,3/7/22,,3/30/22,4.2,4/7/22,5.3,,
4,9,CAAN1,B12,cohort 5,3/28/22,7.4,4/1/22,7.9,4/7/22,8.4,,
3,5,CAAN1,A03,cohort 6,3/25/22,1.7,4/4/22,3,4/7/22,3.2,,
4,9,CAAN1,A07,cohort 6,3/28/22,5.4,4/4/22,8.4,4/7/22,9,,
4,5,CAAM,D12,cohort 5,3/21/22,5.9,4/4/22,12.4,4/7/22,13.1,,
3,9,CAAM,C07,cohort 5,3/21/22,6.9,4/4/22,14.7,4/7/22,14.8,,
3,9,CAAM,B02,cohort 5,3/21/22,4.5,4/6/22,9.2,4/7/22,9.9,,
2,9,CAAN1,D02,cohort 1,2/18/22,,3/4/22,,4/8/22,5,5/13/22,
2,2,STDR2,A11,cohort 1,3/4/22,,3/23/22,11.7,4/8/22,11.7,,
1,2,STIN,C05,cohort 4,3/14/22,3.3,3/25/22,5.6,4/8/22,6.5,5/23/22,
2,4,STIN,E11,cohort 4,3/14/22,3.6,3/25/22,7.5,4/8/22,7.5,5/25/22,5/25 missing
2,13,STDI,D12,cohort 1,3/11/22,19.3,3/25/22,28.2,4/8/22,27.8,,
2,8,CAAM,D04,cohort 3,3/7/22,,3/28/22,6.5,4/8/22,6.4,,
2,14,CAIN4,D14,cohort 4,3/4/22,,3/28/22,12.3,4/8/22,12.4,,
1,2,STIN,B04,cohort 5,3/18/22,3.6,3/28/22,11.4,4/8/22,13,,
2,1,CACO1,A05,cohort 5,3/23/22,6.5,4/4/22,10.2,4/8/22,11,,
2,1,CACO1,B04,cohort 5,3/23/22,8.3,4/4/22,13.9,4/8/22,14.5,,
2,8,CAAM,D10,cohort 5,3/25/22,9.7,4/4/22,15.6,4/8/22,16.2,,
4,9,CAAN1,D02,cohort 2,2/1/22,,2/21/22,8.4,4/11/22,8.4,,
3,1,STIN,A03,cohort 2,2/18/22,,3/11/22,4.4,4/11/22,5.9,,
4,9,CAAN1,A03,cohort 5,3/2/22,,3/11/22,10.3,4/11/22,11.1,,
1,13,CAIN4,C03,cohort 3,3/4/22,,3/21/22,12.6,4/11/22,12,,
4,14,STDI,F06,cohort 2,3/11/22,10.1,3/23/22,12.7,4/11/22,13,,
4,9,CAAN1,E03,cohort 5,3/23/22,6.7,3/25/22,7.5,4/11/22,7.9,,
1,2,STIN,F12,cohort 3,3/7/22,,3/25/22,8.2,4/11/22,8.2,,
3,1,STIN,G09,cohort 3,3/4/22,,3/25/22,8.4,4/11/22,8.6,,
4,8,STIN,F14,cohort 4,3/9/22,3.8,3/25/22,9.1,4/11/22,10,,
1,2,STIN,G13,cohort 4,3/11/22,5.1,3/25/22,9.2,4/11/22,10.3,5/23/22,
3,8,STDI,C13,cohort 1,3/9/22,25.5,3/25/22,31.9,4/11/22,32,,
1,2,STIN,A13,cohort 5,3/21/22,4.7,3/28/22,4.9,4/11/22,5.2,,
2,4,STIN,A13,cohort 5,,,3/28/22,5.5,4/11/22,6.5,,
3,8,STDI,D10,cohort 1,3/16/22,19,3/28/22,26.3,4/11/22,27,,
4,8,STIN,F10,cohort 4,3/16/22,2.5,3/30/22,5.3,4/11/22,6.2,,
2,4,STIN,A05,cohort 4,3/30/22,7.1,4/1/22,7.3,4/11/22,7.7,,
1,2,STIN,E07,cohort 5,3/25/22,6.8,4/1/22,7.3,4/11/22,8,,
3,5,CAAN1,C11,cohort 6,3/25/22,2.6,4/6/22,7.4,4/11/22,8.6,,
2,9,CAAN1,E03,cohort 2,3/4/22,,3/14/22,5.9,4/13/22,6.8,,already had pick for fruit but no record
3,2,CAAN2,A09,cohort 5,3/14/22,2.6,3/21/22,3.1,4/13/22,3.6,,
1,2,STIN,C07,cohort 4,3/7/22,,3/23/22,7.3,4/13/22,7.3,,
3,9,CAAM,A03,cohort 4,3/7/22,,3/23/22,12.2,4/13/22,12.2,,
4,8,STIN,D04,cohort 3,3/9/22,2.5,3/28/22,6.8,4/13/22,7.4,,
3,1,STIN,C13,cohort 4,3/14/22,3.6,3/30/22,7.9,4/13/22,7.5,,
3,1,STIN,F08,cohort 5,3/16/22,2.6,3/30/22,8.5,4/13/22,9,,
4,5,CAAM,B10,cohort 3,3/11/22,5.6,3/30/22,10.1,4/13/22,9.6,,
2,8,CAAM,D08,cohort 1,1/21/22,,4/2/22,,4/13/22,13.6,,
2,8,CAAM,C01,cohort 4,3/25/22,5.2,4/4/22,6.4,4/13/22,7.1,,already had fruit pick but not flower 4/13
3,5,CAAN1,A07,cohort 6,3/25/22,4.2,4/4/22,8.2,4/13/22,9.3,,
3,14,CACO1,F10,cohort 5,3/25/22,10.5,4/4/22,14.2,4/13/22,14.7,,
4,9,CAAN1,C01,cohort 6,3/28/22,4.2,4/6/22,9.9,4/13/22,10.5,,
4,4,CACO1,C07,cohort 5,3/21/22,6.2,4/7/22,11.1,4/13/22,11.1,,
4,4,CACO1,F14,cohort 1,3/7/22,,,,4/13/22,8.2,,
2,13,STDI,A07,cohort 1,3/4/22,,,,4/13/22,30.6,,Already had pick for flower no record
1,12,CAAM,F04,cohort 1,2/14/22,,3/2/22,24.1,4/15/22,27.8,,
1,14,CAAN1,C05,cohort 1,3/7/22,,3/14/22,5.5,4/15/22,5,,
3,5,CAAN1,E01,cohort 1,,,3/14/22,6.6,4/15/22,7.2,,
2,9,CAAN1,F06,cohort 2,3/4/22,,3/16/22,4.7,4/15/22,5.4,,
1,14,CAAN1,B12,cohort 1,3/7/22,,3/21/22,4.1,4/15/22,3.6,,
2,1,CACO1,G07,cohort 2,2/16/22,,3/21/22,11.3,4/15/22,11.5,5/23/22,
2,13,STDI,A01,cohort 1,3/16/22,20.2,3/21/22,27.9,4/15/22,24,,"measured on 3/28, 23.6 cm"
1,11,CAIN3,E11,cohort 4,3/7/22,,3/23/22,9.8,4/15/22,10,,
2,4,STIN,C07,cohort 4,3/11/22,5,3/25/22,8.3,4/15/22,7.3,,
1,14,CAAN1,D12,cohort 5,3/25/22,7.9,3/25/22,7.9,4/15/22,9.4,,bud/flower same day
3,14,CACO1,B04,cohort 1,3/10/22,4.8,3/28/22,7.7,4/15/22,7.7,,
2,3,CAIN3,F04,cohort 2,2/14/22,,3/28/22,9,4/15/22,8.5,,
1,9,STDI,D04,cohort 1,3/16/22,29.2,3/28/22,36.4,4/15/22,37.9,,
4,14,STDI,G01,cohort 1,3/14/22,32.5,3/28/22,43.4,4/15/22,44.7,,
3,1,STIN,F10,cohort 5,3/16/22,4.5,3/30/22,7.3,4/15/22,7.9,,
3,9,CAAM,C09,cohort 4,,,3/30/22,11.4,4/15/22,11.4,,3/30 had pink pick but not recorded as budding
1,2,STIN,G11,cohort 5,3/25/22,6.5,4/1/22,7.5,4/15/22,7.5,5/23/22,
1,4,STGL1,G03,cohort 2,3/21/22,6.3,4/4/22,18.1,4/15/22,18.5,,
2,13,STDI,C11,cohort 1,3/21/22,25.1,4/4/22,34.3,4/15/22,35.11,,
2,13,STDI,B02,cohort 1,3/23/22,29.7,4/4/22,37.3,4/15/22,39.3,,
4,14,STDI,D02,cohort 1,3/21/22,33.4,4/4/22,41.2,4/15/22,41.4,,
3,9,CAAM,D14,cohort 2,3/25/22,7.2,4/6/22,10.5,4/15/22,11.2,,
2,8,CAAM,C09,cohort 5,3/25/22,7.7,4/6/22,15.8,4/15/22,16.3,,
3,14,CACO1,F04,cohort 5,4/1/22,6.4,4/7/22,12.9,4/15/22,12.9,,
2,1,CACO1,A09,cohort 3,3/16/22,3.9,4/8/22,7.5,4/15/22,7.5,,
2,9,CAAN1,A05,cohort 6,4/6/22,6.5,4/11/22,7.5,4/15/22,8.4,,
2,8,CAAM,A13,cohort 2,3/16/22,4.2,4/13/22,6.8,4/15/22,7,,
4,5,CAAM,C09,cohort 4,3/30/22,7.2,4/17/22,9.4,4/15/22,9.4,,attempted branching
4,5,CAAM,E11,cohort 3,3/11/22,2.7,,,4/15/22,3.6,,no flower pick 4/15
4,10,CAAN2,F02,cohort 4,3/11/22,3.5,3/24/22,8.2,4/16/22,10.1,,
4,10,CAAN2,C13,cohort 5,3/16/22,4.1,3/28/22,8.3,4/16/22,8.6,,
4,8,STIN,G03,cohort 5,3/4/22,,3/25/22,8.9,4/17/22,9.2,,
3,13,CAIN3,C07,cohort 5,3/25/22,11.3,4/4/22,13.6,4/17/22,14.1,,
1,7,CACO1,D10,cohort 4,3/7/22,,3/16/22,14.4,4/18/22,16,,
4,4,CACO1,B10,cohort 5,,,3/23/22,13.1,4/18/22,19,,fruit: 24 cm
4,8,STIN,B08,cohort 5,3/18/22,4.1,3/30/22,8.7,4/18/22,9.8,,
3,1,STIN,F12,cohort 4,3/25/22,4.6,4/1/22,6.4,4/18/22,7.4,,
4,8,STIN,B04,cohort 5,3/23/22,5,4/4/22,6.7,4/18/22,8.1,,
4,7,STGL1,E11,cohort 2,3/18/22,7.5,4/7/22,15.6,4/18/22,15.5,,
4,8,STIN,B02,cohort 4,3/9/22,3.7,3/25/22,6.6,4/20/22,6,,already marked fruiting no data
4,9,CAAN1,B02,cohort 6,3/23/22,7.9,3/28/22,10,4/20/22,10.4,,Already marked fruiting no data
2,2,STDR2,G13,cohort 1,3/11/22,6.5,3/28/22,11.1,4/20/22,12.6,,
4,5,CAAM,B06,cohort 4,3/14/22,5.8,3/28/22,13.7,4/20/22,13.7,,already marked for fruit 4/20
1,5,STDR2,B10,cohort 1,3/14/22,6.5,4/1/22,11.5,4/20/22,11.5,,
1,5,STDR2,D02,cohort 2,3/16/22,6,4/4/22,12.1,4/20/22,12.7,,
3,10,STGL1,E03,cohort 2,3/21/22,7.3,4/6/22,12.8,4/20/22,13.5,,
1,9,STDI,E09,cohort 1,3/23/22,21.9,4/6/22,29,4/20/22,29.9,,
4,7,STGL1,G05,cohort 1,3/23/22,7.2,4/7/22,10.1,4/20/22,10.1,,
1,1,CAAN2,A13,cohort 5,4/4/22,5.4,4/11/22,8.9,4/20/22,9,6/3/22,1/24 very small
2,4,STIN,E13,cohort 5,3/21/22,4.4,4/1/22,5.1,4/22/22,5.2,,
2,4,STIN,G11,cohort 5,3/25/22,5.1,4/4/22,8.6,4/22/22,8.8,,
2,12,STGL1,F12,cohort 1,3/21/22,5.2,4/6/22,11,4/22/22,11.2,,
3,10,STGL1,E11,cohort 1,3/21/22,14,4/6/22,20.9,4/22/22,20.9,,
3,8,STDI,D08,cohort 1,3/25/22,26,4/6/22,29.3,4/22/22,29.5,,
2,12,STGL1,B14,cohort 1,3/21/22,4.1,4/8/22,6.3,4/22/22,6.4,,
1,2,STIN,E01,cohort 6,3/25/22,3.4,4/8/22,6.5,4/22/22,6.6,,
1,14,CAAN1,E01,cohort 6,4/1/22,5.2,4/8/22,7.5,4/22/22,7.8,,
2,5,STBR3,B14,cohort 1,3/23/22,7.8,4/8/22,13.7,4/22/22,13.8,,
1,4,STGL1,D14,cohort 1,3/28/22,5.4,4/11/22,7,4/22/22,7.3,,
1,2,STIN,G05,cohort 5,3/25/22,3.5,4/11/22,7.1,4/22/22,7.4,,
1,11,CAIN3,E13,cohort 5,4/1/22,9,4/11/22,12.8,4/22/22,10.5,,
1,1,CAAN2,F14,cohort 5,4/4/22,3.3,4/13/22,4.9,4/22/22,4.9,,
1,14,CAAN1,C13,cohort 5,4/6/22,5,4/13/22,6.8,4/22/22,7.2,,
2,9,CAAN1,A07,cohort 6,4/6/22,4.2,4/15/22,5.5,4/22/22,6.2,,
3,1,STIN,D06,cohort 5,3/28/22,5.7,4/6/22,7.1,4/25/22,7.9,,
1,2,STIN,F08,cohort 6,3/25/22,3.2,4/8/22,7.5,4/25/22,7.6,,
1,4,STGL1,C07,cohort 2,3/25/22,7.1,4/11/22,10.9,4/25/22,11.4,,
1,9,STDI,G05,cohort 1,4/4/22,26.1,4/11/22,27.9,4/25/22,28.5,,
3,1,STIN,F04,cohort 5,4/6/22,5.3,4/13/22,6,4/25/22,6.1,,
3,1,STIN,C11,cohort 6,4/4/22,5.3,4/13/22,6.5,4/25/22,7,,
1,6,STTO_TM2,C09,cohort 4,3/30/22,23.1,4/13/22,44.2,4/25/22,46.4,,
2,12,STGL1,D02,cohort 4,4/8/22,7.3,4/20/22,24.7,4/25/22,11.6,,
1,11,CAIN3,C11,cohort 2,3/4/22,,3/23/22,11.1,4/27/22,9.9,,
1,7,CACO1,D12,cohort 2,3/2/22,,3/23/22,12.8,4/27/22,13.7,,
4,14,STDI,D12,cohort 1,3/21/22,19.4,4/4/22,27.6,4/27/22,29.1,,
3,8,STDI,C09,cohort 1,3/18/22,25.8,4/4/22,31.8,4/27/22,32.9,,
3,8,STDI,E05,cohort 1,3/21/22,24.6,4/6/22,35.6,4/27/22,36.5,,
4,8,STIN,C13,cohort 5,3/28/22,3.3,4/7/22,7.1,4/27/22,7.8,,
3,8,STDI,A09,cohort 4,4/1/22,9,4/7/22,12.1,4/27/22,12.8,,
3,10,STGL1,C07,cohort 2,3/21/22,3.5,4/7/22,13.2,4/27/22,13.3,,
2,4,STIN,D14,cohort 6,4/1/22,4.2,4/11/22,8,4/27/22,8.7,,
1,8,STBR3,G07,cohort 1,3/23/22,8.1,4/11/22,11.2,4/27/22,11.2,,
4,14,STDI,F14,cohort 3,3/28/22,16.7,4/11/22,23.1,4/27/22,24.3,,
3,10,STGL1,F06,cohort 2,3/28/22,3.7,4/13/22,8.1,4/27/22,8,,
4,11,STDR2,E13,cohort 2,3/25/22,6.3,4/13/22,10.2,4/27/22,11.2,,
2,12,STGL1,C09,cohort 4,4/4/22,5.2,4/15/22,9.6,4/27/22,9.6,,
3,10,STGL1,F10,cohort 2,3/25/22,5.1,4/15/22,9.9,4/27/22,10.2,,
2,1,CACO1,F12,cohort 6,4/6/22,7.3,4/15/22,13.5,4/27/22,15,,
4,14,STDI,B12,cohort 1,3/28/22,32.3,4/15/22,39.6,4/27/22,42.2,,
3,8,STDI,E09,cohort 2,3/28/22,18.4,4/18/22,20.3,4/27/22,20.6,,very small 12/3/21
4,14,STDI,C09,cohort 2,4/6/22,14.7,4/25/22,17.1,4/27/22,17.6,,
2,12,STGL1,A07,cohort 2,4/1/22,4.3,6/10/22,8.5,4/27/22,8,,
3,1,STIN,E13,cohort 5,3/21/22,3.6,4/6/22,6.7,4/28/22,6.7,,
2,4,STIN,G07,cohort 5,3/25/22,5.2,4/1/22,6.4,4/29/22,8.5,,
2,2,STDR2,A01,cohort 4,3/28/22,4.5,4/11/22,8.6,4/29/22,9.3,,
1,9,STDI,A11,cohort 4,3/28/22,11.4,4/11/22,15,4/29/22,15,,
3,8,STDI,E07,cohort 4,4/6/22,22.6,4/15/22,26.2,4/29/22,26.3,,
3,1,STIN,C01,cohort 6,,,4/18/22,8.5,4/29/22,8.6,,
2,6,CAAN2,A01,cohort 3,3/4/22,,3/14/22,5.4,5/2/22,4.5,5/25/22,
2,2,STDR2,C05,cohort 2,3/28/22,4.2,4/4/22,4.4,5/2/22,7.6,,added flower pick 4/13
3,4,STDR2,A13,cohort 1,3/21/22,6.1,4/6/22,9.7,5/2/22,10.2,,
1,5,STDR2,B08,cohort 1,3/14/22,5.3,4/8/22,9.5,5/2/22,9.8,,
2,13,STDI,F12,cohort 2,3/25/22,14.5,4/8/22,18.8,5/2/22,19.2,,
2,13,STDI,B10,cohort 1,3/28/22,22.3,4/8/22,26.4,5/2/22,26,,
3,2,CAAN2,A13,cohort 5,3/9/22,4.1,4/11/22,7.2,5/2/22,7.3,,
3,4,STDR2,D06,cohort 3,3/23/22,5.4,4/11/22,9.1,5/2/22,9.5,,
3,4,STDR2,E11,cohort 4,3/25/22,5.1,4/11/22,10.2,5/2/22,10.5,,
2,2,STDR2,F02,cohort 4,3/25/22,7.5,4/11/22,11.9,5/2/22,12.4,,
2,2,STDR2,D02,cohort 2,3/28/22,3.7,4/13/22,6.9,5/2/22,7,,
1,5,STDR2,D08,cohort 4,3/30/22,4.6,4/13/22,7.7,5/2/22,8.7,,
1,5,STDR2,E07,cohort 2,3/28/22,5.1,4/13/22,8.7,5/2/22,9,,
3,10,STGL1,F14,cohort 1,3/28/22,5.1,4/13/22,8.6,5/2/22,9,,
4,7,STGL1,D12,cohort 1,3/30/22,6,4/13/22,9,5/2/22,9,,
1,5,STDR2,E11,cohort 4,3/25/22,5,4/13/22,8.8,5/2/22,9.9,,
1,5,STDR2,C03,cohort 4,3/28/22,6.5,4/13/22,12,5/2/22,12.1,,
4,11,STDR2,G01,cohort 4,3/25/22,6.1,4/13/22,11.2,5/2/22,12.2,,
4,14,STDI,F04,cohort 4,3/30/22,19,4/13/22,28.9,5/2/22,29.6,,
4,14,STDI,D04,cohort 1,4/1/22,34.8,4/13/22,41.4,5/2/22,43.4,,
1,4,STGL1,G13,cohort 1,3/30/22,4.9,4/15/22,4.9,5/2/22,5.1,,
4,11,STDR2,B12,cohort 2,,,4/15/22,7.8,5/2/22,7.8,,bud pick in (4/13)
3,4,STDR2,B12,cohort 1,3/30/22,5.7,4/15/22,8.6,5/2/22,8.9,,
4,7,STGL1,F04,cohort 2,4/4/22,8.1,4/15/22,8.3,5/2/22,9.2,,
1,4,STGL1,A11,cohort 3,4/4/22,4.2,4/18/22,6.4,5/2/22,5.2,,
4,8,STIN,A01,cohort 5,4/7/22,4.9,4/20/22,,5/2/22,5.7,,
3,10,STGL1,G09,cohort 2,4/6/22,5.2,4/20/22,8,5/2/22,8.8,,
1,5,STDR2,C05,cohort 4,3/28/22,5,4/20/22,9.1,5/2/22,9,,
4,11,STDR2,E09,cohort 1,3/28/22,3.6,4/20/22,9.6,5/2/22,11.5,,
1,6,STTO_TM2,A13,cohort 1,4/4/22,7.8,4/20/22,11.7,5/2/22,12,,
4,7,STGL1,C03,cohort 2,3/30/22,6.1,4/20/22,12.2,5/2/22,12.2,,
4,4,CACO1,C01,cohort 5,,,4/20/22,13,5/2/22,13.1,,
2,12,STGL1,B10,cohort 2,4/6/22,3.4,4/22/22,6.9,5/2/22,6.9,,
2,13,STDI,D14,cohort 4,4/8/22,16.2,4/22/22,19.6,5/2/22,19,,
1,9,STDI,D10,cohort 4,4/8/22,19,4/22/22,22.1,5/2/22,21.4,,
3,14,CACO1,G11,cohort 5,4/6/22,5.5,4/25/22,8.7,5/2/22,9.5,,
3,10,STGL1,F04,cohort 4,4/6/22,5.4,4/25/22,9.2,5/2/22,11.2,,
4,7,STGL1,B02,cohort 3,4/4/22,5.4,4/25/22,11.2,5/2/22,11.3,,
3,13,CAIN3,G11,cohort 6,4/6/22,5.6,4/25/22,11.6,5/2/22,12.2,,
3,13,CAIN3,F08,cohort 6,4/13/22,10.1,4/25/22,14.1,5/2/22,15.4,,
2,5,STBR3,B12,cohort 1,4/4/22,9.6,4/25/22,17.4,5/2/22,17,,
1,14,CAAN1,A01,cohort 6,4/11/22,1.1,4/27/22,2,5/2/22,2,,
2,9,CAAN1,D14,cohort 5,4/20/22,4.8,4/27/22,6.9,5/2/22,7.4,,
4,5,CAAM,C07,cohort 6,4/11/22,5.7,4/27/22,10.8,5/2/22,10.9,,
1,11,CAIN3,E03,cohort 5,4/4/22,5.9,,,5/2/22,8.1,,
3,9,CAAM,C03,cohort 6,4/18/22,4.8,4/29/22,6.7,5/3/22,7.1,,
3,4,STDR2,D12,cohort 4,5/9/22,4.1,5/20/22,4.1,5/3/22,4.7,,
4,6,CAIN3,C03,cohort 4,3/4/22,,3/30/22,13.5,5/4/22,14.4,,
3,4,STDR2,E09,cohort 4,3/25/22,6.2,4/11/22,10.6,5/4/22,10.9,,
1,9,STDI,C01,cohort 3,3/28/22,24.5,4/11/22,32.5,5/4/22,33.4,,
4,11,STDR2,D04,cohort 2,3/25/22,6.3,4/13/22,11.7,5/4/22,12.5,,
2,13,STDI,B08,cohort 4,3/28/22,23.7,4/13/22,37.8,5/4/22,41.2,,
3,4,STDR2,B06,cohort 2,3/25/22,4.6,4/18/22,7.7,5/4/22,8.7,,
3,4,STDR2,D08,cohort 4,4/4/22,9.1,4/18/22,8.5,5/4/22,9,,
3,13,CAIN3,C03,cohort 6,4/6/22,7.1,4/18/22,11.6,5/4/22,11.9,,
3,1,STIN,B02,cohort 6,4/11/22,5.1,4/25/22,7.2,5/4/22,7.5,,
4,2,STBR3,C01,cohort 1,4/4/22,11.6,4/25/22,15.5,5/4/22,15.5,,
1,7,CACO1,F12,cohort 6,4/18/22,6.4,4/27/22,12,5/4/22,13.1,,
2,5,STBR3,D02,cohort 1,4/6/22,7.2,4/27/22,12.7,5/4/22,13.1,,
4,2,STBR3,G01,cohort 1,4/4/22,8.7,4/27/22,14.4,5/4/22,14,,
3,1,STIN,A07,cohort 6,4/11/22,3,4/29/22,5.8,5/4/22,6.3,,
4,9,CAAN1,E09,cohort 2,,,3/11/22,4.1,5/6/22,4.1,,
